index,Timestamp,Rank,TrendPhrase
8,2014/04/25 06:40:22,8,#WeAreReadyForTheWWAT
8,2014/04/25 06:40:22,9,Finally Friday
8,2014/04/25 06:40:22,10,#smilejacob
9,2014/04/25 06:49:37,1,Waffle House
9,2014/04/25 06:49:37,2,#happyfriday
9,2014/04/25 06:49:37,3,#LameOfficeHolidays
9,2014/04/25 06:49:37,4,Cali
9,2014/04/25 06:49:37,5,#TGIF
9,2014/04/25 06:49:37,6,#WeAreReadyForTheWWAT
9,2014/04/25 06:49:37,7,Finally Friday
9,2014/04/25 06:49:37,8,#smilejacob
9,2014/04/25 06:49:37,9,WWAT
9,2014/04/25 06:49:37,10,Dear God
10,2014/04/25 06:54:37,1,Cali
10,2014/04/25 06:54:37,2,Waffle House
10,2014/04/25 06:54:37,3,#LameOfficeHolidays
10,2014/04/25 06:54:37,4,Cliven Bundy
10,2014/04/25 06:54:37,5,#TGIF
10,2014/04/25 06:54:37,6,#WeAreReadyForTheWWAT
10,2014/04/25 06:54:37,7,Finally Friday
10,2014/04/25 06:54:37,8,#smilejacob
10,2014/04/25 06:54:37,9,WWAT
10,2014/04/25 06:54:37,10,#WWATour
11,2014/04/25 07:01:45,1,Waffle House
11,2014/04/25 07:01:45,2,#LameOfficeHolidays
11,2014/04/25 07:01:45,3,Cliven Bundy
11,2014/04/25 07:01:45,4,#TGIF
11,2014/04/25 07:01:45,5,#WeAreReadyForTheWWAT
11,2014/04/25 07:01:45,6,Finally Friday
11,2014/04/25 07:01:45,7,#smilejacob
11,2014/04/25 07:01:45,8,WWAT
11,2014/04/25 07:01:45,9,Penn Relays
11,2014/04/25 07:01:45,10,#WWATour
12,2014/04/25 07:24:23,1,#happyfriday
12,2014/04/25 07:24:23,2,#LameOfficeHolidays
12,2014/04/25 07:24:23,3,Napoleon Dynamite
12,2014/04/25 07:24:23,4,#TGIF
12,2014/04/25 07:24:23,5,#WeAreReadyForTheWWAT
12,2014/04/25 07:24:23,6,Finally Friday
12,2014/04/25 07:24:23,7,#smilejacob
12,2014/04/25 07:24:23,8,WWAT
12,2014/04/25 07:24:23,9,Liger
12,2014/04/25 07:24:23,10,Penn Relays
13,2014/04/25 07:50:05,1,#LameOfficeHolidays
13,2014/04/25 07:50:05,2,Dunkin
13,2014/04/25 07:50:05,3,#TGIF
13,2014/04/25 07:50:05,4,Cliven Bundy
13,2014/04/25 07:50:05,5,Florida
13,2014/04/25 07:50:05,6,#WeAreReadyForTheWWAT
13,2014/04/25 07:50:05,7,Finally Friday
13,2014/04/25 07:50:05,8,#smilejacob
13,2014/04/25 07:50:05,9,#2DaysUntilProblem
13,2014/04/25 07:50:05,10,Penn Relays
14,2014/04/25 07:59:20,1,#LameOfficeHolidays
14,2014/04/25 07:59:20,2,Dunkin
14,2014/04/25 07:59:20,3,#TGIF
14,2014/04/25 07:59:20,4,Florida
14,2014/04/25 07:59:20,5,#WeAreReadyForTheWWAT
14,2014/04/25 07:59:20,6,Finally Friday
14,2014/04/25 07:59:20,7,#smilejacob
14,2014/04/25 07:59:20,8,#2DaysUntilProblem
14,2014/04/25 07:59:20,9,Penn Relays
