Timestamp,Rank,TrendPhrase
2014/04/23 10:42:24,6,#AdministrativeProfessionalsDay
2014/04/23 10:42:24,7,#MostBeautiful
2014/04/23 10:42:24,8,Amazon Prime
2014/04/23 10:42:24,9,#WrigleyField100
2014/04/23 10:42:24,10,#Shakespeare450th
2014/04/23 10:47:24,1,Merril Hoge
2014/04/23 10:47:24,2,#QNashville
2014/04/23 10:47:24,3,Lol Shaq CLEARED
2014/04/23 10:47:24,4,Karen Vi
2014/04/23 10:47:24,5,Happy Administrative Professionals Day
2014/04/23 10:47:24,6,#AdministrativeProfessionalsDay
2014/04/23 10:47:24,7,#MostBeautiful
2014/04/23 10:47:24,8,Amazon Prime
2014/04/23 10:47:24,9,#WrigleyField100
2014/04/23 10:47:24,10,#Shakespeare450th
2014/04/23 10:52:25,1,Marilyn Monroe
2014/04/23 10:52:25,2,Lupita
2014/04/23 10:52:25,3,My WCW
2014/04/23 10:52:25,4,Kelis
2014/04/23 10:52:25,5,#AdministrativeProfessionalsDay
2014/04/23 10:52:25,6,#MostBeautiful
2014/04/23 10:52:25,7,#HappyBirthdayShakespeare
2014/04/23 10:52:25,8,Amazon Prime
2014/04/23 10:52:25,9,#Shakespeare450th
2014/04/23 10:52:25,10,#WrigleyField100
2014/04/23 10:57:26,1,Lupita
2014/04/23 10:57:26,2,#QNashville
2014/04/23 10:57:26,3,Lol Shaq CLEARED
2014/04/23 10:57:26,4,My WCW
2014/04/23 10:57:26,5,Happy Administrative Professionals Day
2014/04/23 10:57:26,6,#AdministrativeProfessionalsDay
2014/04/23 10:57:26,7,#MostBeautiful
2014/04/23 10:57:26,8,Amazon Prime
2014/04/23 10:57:26,9,#Shakespeare450th
2014/04/23 10:57:26,10,#WrigleyField100
2014/04/23 11:02:26,1,Lupita
2014/04/23 11:02:26,2,#QNashville
2014/04/23 11:02:26,3,Lol Shaq CLEARED
2014/04/23 11:02:26,4,My WCW
2014/04/23 11:02:26,5,Happy Administrative Professionals Day
2014/04/23 11:02:26,6,#AdministrativeProfessionalsDay
2014/04/23 11:02:26,7,#MostBeautiful
2014/04/23 11:02:26,8,Amazon Prime
